Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Train_Time_s
1D-CNN,0.9067473473880394,0.861401949445137,0.8086886863924312,0.8276171557608837,123.20057415962219
LSTM,0.901578183328724,0.8739080371481904,0.8061545000550103,0.830997274588261,255.22983241081238
