Model,InDomain_F1,InDomain_AUC,CrossDomain_F1,CrossDomain_AUC,Delta_F1,Delta_AUC,Train_Time_s
RandomForest,0.9814112004470643,0.9991095764395228,0.30184081258600726,0.6495340972044424,-0.6795703878610571,-0.34957547923508037,1527.0336167812347
XGBoost,0.9815476129481806,0.9991608695490692,0.3009550376023547,0.5645866238458149,-0.680592575345826,-0.4345742457032543,64.38765668869019
LightGBM,0.9801994504180684,0.9989058608665244,0.2821091981771338,0.5568544807509256,-0.6980902522409347,-0.44205138011559886,62.071155071258545
