Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train_Time_s
1D-CNN,0.9731612203847662,0.962597936773068,0.9752708877030848,0.9688929740139701,0.9974427652550701,348.80498242378235
LSTM,0.949661183176559,0.9418395547078744,0.9406288793114619,0.9412338276977177,0.9916876725624336,256.2959415912628
